"","npo","website","year_founded","source","partner_status","eligibility","recent_activity","address","latitude","longitude","municipality","department","address2","latitude2","longitude2","municipality2","department2","address3","latitude3","longitude3","municipality3","department3","address4","latitude4","longitude4","municipality4","department4","address5","latitude5","longitude5","municipality5","department5","size","budget","health","edu","comm_dev","youth_child","women_girls","enviro_cons","security","human_rights","animal_welfare","faith_based","religious_aff","us_tax_status","guate_reg","guate_govt_funding","seal_excellence","total_eval_score","efficiency","transparency","relevance","impact","sustainability"
"1","Adisa","http://www.adisagt.org/",1998,NA,"P","Y","Y","Canton Tzanchicham, Santiago AtitlÃ¡n, SololÃ¡ Guatemala 70019",14.640205,-91.22872,"Santiago AtitlÃ¡n","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",400000,"Y","Y","N","N","N","N","N","Y","N","N","Secular","N","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"2","Ak'Tenamit","https://thegtfund.org",1991,NA,"P","Y","Y","RÃ­o TatÃ­n, Livingston",15.787929,-88.80067,"Livingston","Izabal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Large",1000000,"Y","Y","Y","N","N","Y","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"3","Amigos de Santa Cruz","http://www.amigosdesantacruz.org/",1998,NA,"P","Y","Y","Santa Cruz la Laguna, SololÃ¡",14.741926,-91.20759,"Santa Cruz la Laguna","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",450000,"N","Y","Y","N","N","N","N","N","N","N","Secular","501(c)3","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"4","Amigos Hospitalito AtitlÃ¡n","https://hospitalitoatitlan.org/",2006,NA,"P","Y","Y","Santiago AtitlÃ¡n, SololÃ¡",14.641212,-91.22768,"Santiago AtitlÃ¡n","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",665000,"Y","N","N","N","N","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"5","Animal Aware","http://animalaware.org/",1999,NA,"P","Y","Y","Granja Montecito, Pachaj, Sumpango",14.650763,-90.72082,"Sumpango","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",64500,"N","N","N","N","N","N","N","N","Y","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"6","ARCAS","http://arcasguatemala.org/",1989,NA,"P","Y","Y","Orilla de Reserva de la BiÃ³sfera Maya (RBM)",17.480599,-89.85664,"Reserva de la BiÃ³sfera Maya (RBM)","PetÃ©n","Guatemala, Guatemala",16.930195,-89.87231,"Guatemala","Guatemala","Hawaii, Santa Rosa",13.863339,-90.40705,"Hawaii","Santa Rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",300000,"N","N","N","N","N","Y","N","N","Y","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"7","ASSADE","http://www.assade.org/",2011,NA,"P","Y","Y","San AndrÃ©s Itzapa",14.621935,-90.8469,"San AndrÃ©s Itzapa","Chimaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",79000,"Y","N","N","N","Y","N","N","N","N","N","Secular","N","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"8","Ayuda para Perros y Gatos","https://ayudagt.org/",2009,NA,"P","Y","Y","Panajachel",14.740911,-91.15207,"Panajachel","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",60000,"N","N","N","N","N","N","N","N","Y","N","Secular","N","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"9","Cada NiÃ±o","https://cadanino.net/",2019,NA,"P","Y","Y","San Jose Pinula",14.5423358,-90.4179036,"San Jose Pinula","Guatemala","Colonia Santa Fe, Zona 13",14.5641494,-90.5426807,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nano",49000,"N","Y","N","N","N","N","N","N","N","Y","Evangelical","501(c)3","in process",NA,NA,NA,NA,NA,NA,NA,NA
"10","Caras Alegres","http://carasalegres.org/en/",2004,NA,"P","Y","Y","Diagonal 15 18-84B Zona 5, Las Rosas, Ciudad de Quetzaltenango",14.84236,-91.48406,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",59556.65,"N","Y","N","Y","N","N","N","N","N","N","Secular","N","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"11","Casa Guatemala","http://www.casa-guatemala.org/",1977,NA,"P","Y","Y","Livingston",15.6769031,-88.9517445,"Livingston","Izabal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",309965.96,"N","Y","Y","Y","N","N","N","N","N","N","Secular","501(c)3","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"12","CasaSito","https://www.casasito.org/",2004,NA,"P","Y","Y","Calle del Emperador #5, Panorama Antigua, Sacatequez",14.542423,-90.7483962,"Antigua Guatemala","SacatepÃ©quez","4ta calle 0-46 zona 3, Barrio San SebastiÃ¡n, San CristÃ³bal, Alta Verapaz",15.368175,-90.47611,"San CristÃ³bal","Alta Verapaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",300000,"N","Y","N","Y","N","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"13","CIDES","www.cidesglobal.org",2015,NA,"P","Y","Y","8a calle 19-36 zona 6, 01006",14.651667,-90.49061,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nano",1596,"N","N","Y","N","N","N","N","N","N","N","Secular","N","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"14","Cojolya Association of Maya Women Weavers","https://www.cojolya.org/",1983,NA,"P","Y","Y","Santiago AtitlÃ¡n, SololÃ¡",14.64022,-91.23108,"Santiago AtitlÃ¡n","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",93333,"N","N","Y","N","Y","N","N","N","N","N","Secular","N","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"15","Creamos Futuros","www.creamosfuturos.com",2008,NA,"P","Y","Y","Calle 30 Zona 3",14.622449,-90.52934,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",124733,"N","N","Y","N","Y","N","N","N","N","N","Secular","N","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"16","Days for Girls Guatemala","https://www.daysforgirls.org/",2008,NA,"P","Y","Y","Calle Del Rastro, Panajachel",14.747862,-91.1535,"Panajachel","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",54438.13,"N","N","N","N","Y","N","N","N","N","N","Secular","501(c)3","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"17","De La Gente, Inc","http://www.dlgcoffee.org/",2014,NA,"P","Y","Y","1era Avenida A, 1-49, Zona 6, San Miguel Escobar, Ciudad Vieja.",14.527928,-90.75556,"Ciudad Vieja","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",856017,"N","N","Y","N","N","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"18","Education for the Children (EFTC)","http://www.eftc.org.uk/",2003,NA,"P","Y","Y","1a. Avenida 25A, Jocotenango",14.573429,-90.74482,"Jocotenango","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Large",1000000,"N","Y","Y","Y","N","N","N","N","N","N","Secular","501(c)3","Found",NA,NA,NA,NA,NA,NA,NA,NA
"19","EntreMundos","http://www.entremundos.org/",2001,NA,"P","Y","Y","6Âª Calle 7-31, Zona 1, Quetzaltenango",14.833347,-91.51603,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",66666,"N","Y","Y","N","N","N","N","Y","N","N","Secular","N","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"20","Forjando Mi MaÃ±ana","http://web.friendsofforma.org/",2012,NA,"P","Y","Y","Panajachel",14.73612,-91.1534,"Panajachel","SololÃ¡","Buena Vista",14.671999,-90.64579,NA,"SacatepÃ©quez","PeÃ±a Blanca",15.169521,-88.96698,NA,"Izabal","San Andres",16.974371,-89.91439,NA,"PetÃ©n",NA,NA,NA,NA,NA,"Nano",40000,"Y","Y","Y","N","N","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"21","Guatemalan Housing Alliance","http://www.guatemalahousingalliance.org",2011,NA,"P","Y","Y","San Juan La Laguna",14.694409,-91.28629,"San Juan la Laguna","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nano",43000,"N","Y","Y","N","Y","N","N","N","N","N","Secular","501(c)3","N",NA,NA,NA,NA,NA,NA,NA,NA
"22","Health & Help","https://he-he.org/",2015,NA,"P","Y","Y","Momostenango",15.0429481,-91.4183951,"Momostenango","TotonicapÃ¡n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",90840,"Y","N","N","N","Y","N","N","N","N","N","Secular","501(c)3","Y",NA,NA,NA,NA,NA,NA,NA,NA
"23","Hogar Campestre Adventista Los Pinos","http://www.hocap.org/",1980,NA,"P","Y","Y","Las Lajas, PoptÃºn PetÃ©n",16.329991,-89.41951,"PoptÃºn","PetÃ©n",NA,NA,NA,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",626666.67,"Y","Y","Y","N","N","N","N","N","N","Y","Evangelical","N","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"24","Konojel Community Center","http://www.konojel.org/",2017,NA,"P","Y","Y","San Marcos la Laguna",14.725432,-91.25789,"San Marcos La Laguna","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nano",40000,"Y","Y","Y","N","Y","N","N","N","N","N","Secular","501(c)3","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"25","Las Manos de Christine","http://www.lasmanosdc.org/",2006,NA,"P","Y","Y","El Hato, Antigua",14.582333,-90.71261,"Antigua Guatemala","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nano",15000,"Y","Y","N","Y","N","N","N","N","N","N","Secular","501(c)3","N",NA,NA,NA,NA,NA,NA,NA,NA
"26","Let's Be Ready","https://letsbeready.org/",2014,NA,"E","Y","Y","Aldea San Antonio",14.681952,-90.7359124,"Santo Domingo Xenacoj","SacatepÃ©quez","CaserÃ­o Panatzan / CaserÃ­o El Sapito / Chuisac / Varituc / CaserÃ­o PacoxpÃ³n",14.7827766,-90.8018304,"San MartÃ­n Jilotepeque","Chimaltenango","CaserÃ­o Los Izotes",14.7192837,-90.6544493,"San Juan SacatepÃ©quez","SacatepÃ©quez","CaserÃ­o La CiÃ©naga / Aldea Rio Blanco / La Vega",14.6778101,-91.0342486,"PatzÃºn","Chimaltenango","ChirijuyÃº / Nuevo Amanecer",14.7589043,-91.0049918,"TecpÃ¡n","Chimaltenango",NA,NA,"N","Y","N","N","N","N","N","N","N","N","Secular","501(c)3","N",NA,NA,NA,NA,NA,NA,NA,NA
"27","Magic Classroom","https://letsbeready.org/magical-classroom/",2014,NA,"P","Y","Y","Buenos Aires",14.5781218,-91.5896381,"San AndrÃ©s Villa Seca","Retalhuleu","Sibila / Mirador San JosÃ© Las Flores / Cumbre la Botija  / El Rancho / Maravillas / Ojo de Agua / Los Cifuentes / Buena Vista / Agua Blanca / Las Casitas",15.3588576,-91.4637029,"Chiantla","Huehuetenango","ConcepciÃ³n /
Xolbe / Buena Vista",14.7674736,-91.1972739,"SololÃ¡","SololÃ¡","JalaÃ¡ Las Flores / Xesaiy / Cobadonga",15.6421715,-91.0716713,"Chel","QuichÃ©","Plan Pojom",15.8305205,-91.4806008,"San Mateo Ixtatan","Huehuetenango","Micro",63081,"N","Y","N","N","N","N","N","N","N","N","Secular","501(c)3","N",NA,NA,NA,NA,NA,NA,NA,NA
"28","Limitless Horizons Ixil","http://limitlesshorizonsixil.org/",2004,NA,"P","Y","Y","Frente de salÃ³n municipal, Canton IlÃ³m, Chajul, QuichÃ© 14005",15.4843696,-91.0438514,"Chajul","QuichÃ©",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",270000,"N","Y","Y","Y","Y","N","N","N","N","N","Secular","501(c)3","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"29","Long Way Home","https://www.lwhome.org/",2005,NA,"P","Y","Y","Centro Educativo TÃ©cnico Chixot, San Juan Comalapa",14.732723,-90.884789,"San Juan Comalapa","Chimaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",200000,"N","Y","Y","N","N","Y","N","N","N","N","Secular","501(c)3","N",NA,NA,NA,NA,NA,NA,NA,NA
"30","Maya Traditions","https://mayatraditions.org/",1996,NA,"P","Y","Y","Callejon Chotzar, Panajachel",14.7407346,-91.1532798,"Panajachel","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",250000,"N","N","Y","N","Y","N","N","N","N","N","Secular","501(c)3","Found",NA,NA,NA,NA,NA,NA,NA,NA
"31","Mercado Global","https://www.mercadoglobal.org/",2004,NA,"P","Y","Y","Rancho Grande, Panajachel",14.7416089,-91.1578509,"Panajachel","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Large",1387077,"N","Y","Y","N","Y","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"32","Minnasan","https://www.facebook.com/pages/category/Non-Governmental-Organization--NGO-/Minnasan-Guatemala-132052417220866/",2016,NA,"P","Y","Y",NA,14.6581329,-90.8607309,"Chimaltenango","Chimaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nano",9333,"N","Y","Y","Y","N","N","N","N","N","N","Secular","N","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"33","Multicolores","http://multicolores.org",2014,NA,"P","Y","Y","CallejÃ³n El CapulÃ­n, zona 2, Panajachel, SololÃ¡",14.743919,-91.1558,"Panajachel","SololÃ¡",NA,14.57076,-90.7135,"Antigua","SacatepÃ©quez",NA,14.911726,-91.3627,"TotonicapÃ¡n","TotonicapÃ¡n",NA,15.246765,-90.96475,"Santa Cruz del QuichÃ©","QuichÃ©",NA,14.825798,-91.64644,"Quetzaltenango","Quetzaltenango","Small",NA,"N","N","Y","N","Y","N","N","N","N","N","Secular","N","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"34","NicolÃ¡s Fund for Education","https://nicolasfund.org/",2013,NA,"P","Y","Y",NA,15.406354,-91.1574054,"Nebaj","QuichÃ©",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",300000,"N","Y","N","N","N","N","N","N","N","Y","Evangelical","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"35","NiÃ±os de Guatemala","https://ninosdeguatemala.org/",2006,NA,"P","Y","Y","4ta Calle Oriente 28C, Antigua",14.557762,-90.72921,"Antigua Guatemala","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",600000,"N","Y","Y","Y","N","N","N","N","N","N","Secular","501(c)3","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"36","ODIM Guatemala","http://www.odimguatemala.org/",2005,NA,"P","Y","Y","San Juan la Laguna",14.694554,-91.29144,"San Juan la Laguna","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",330000,"Y","Y","N","N","N","N","N","N","N","N","Secular","501(c)3","in process",NA,NA,NA,NA,NA,NA,NA,NA
"37","Primeros Pasos","http://www.primerospasos.org/",2002,NA,"P","Y","Y","Tierra Colorada Baja, Palajunoj Valley",14.819222,-91.54444,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",60000,"Y","N","N","N","N","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"38","Project Somos","http://projectsomos.org/",2002,NA,"P","Y","Y","Tecpan",14.726049,-91.03246,"Tecpan","Chimaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",447000,"N","Y","Y","Y","N","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"39","Ripple Effect","http://www.therippleeffectinc.org/",2009,NA,"P","Y","Y","Chel",15.641903,-91.06705,"Chajul","QuichÃ©",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",100000,"Y","N","N","N","N","N","N","N","N","N","Secular","501(c)3","N",NA,NA,NA,NA,NA,NA,NA,NA
"40","Seeds For a Future","https://www.seedsforafuture.org/",2007,NA,"P","Y","Y",NA,14.6179549,-91.4265029,"ChocolÃ¡","SuchitepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",72000,"Y","N","N","N","N","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"41","Semilla Nueva","https://www.semillanueva.org/",2011,NA,"P","Y","Y","7 Avenida 14-44 Zona 9. Edificio la Galeria.",14.597722,-90.51981,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",786000,"Y","N","Y","N","N","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"42","Ser NiÃ±a","http://www.sernina.org",2015,NA,"P","Y","Y","Calle del EspÃ­ritu Santo, #1, Casa #47, Antigua",14.554696,-90.74084,"Antigua Guatemala","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",69100,"N","Y","N","N","Y","N","N","Y","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"43","SERES","http://www.seres.org/",2009,NA,"P","Y","Y","1ra Avenida Norte No. 12, Interior Impact Hub",14.557949,-90.72973,"Antigua Guatemala","SacatepÃ©quez",NA,15.641903,-91.06705,"Santa Cruz del QuichÃ©","QuichÃ©",NA,14.748909,-91.74078,"Quetzaltenango","Quetzaltenango",NA,14.726049,-91.03246,"Chimaltenango","Chimaltenango",NA,NA,NA,NA,NA,"Small",300000,"N","Y","Y","Y","N","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"44","Sharing the Dream Guatemala","http://www.sharingthedream.org/",1996,NA,"P","Y","Y","Panajachel",14.738093,-91.15239,"Panajachel","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",130000,"N","Y","Y","N","Y","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"45","Sonido del Movimiento","https://sonidodelmovimiento.org",2016,NA,"P","Y","Y","Xela",14.845616,-91.52325,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nano",25360,"N","Y","N","Y","N","N","N","N","N","Y","Evangelical","501(c)3","N",NA,NA,NA,NA,NA,NA,NA,NA
"46","SueÃ±os","https://www.suenosgt.org/",2018,NA,"P","Y","Y",NA,14.5559556,-90.7400216,"Antigua Guatemala","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micro",89000,"N","Y","N","Y","N","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"47","The Integral Heart Family","http://www.integralheartfoundation.org",2011,NA,"P","Y","Y","#41, 7 Calle Poniente, Antigua",14.554581,-90.73509,"Antigua Guatemala","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",170000,"N","Y","Y","N","Y","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"48","Timmer Project Guatemala","http://www.timmerproject.nl/",2012,NA,"P","Y","Y","San Juan Alotenango",14.485615,-90.80323,"San Juan Alotenango","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nano",47727,"N","Y","Y","Y","N","N","N","N","N","N","Secular","N","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"49","Transitions","https://transitionsfoundation.org/",1996,NA,"P","Y","Y",NA,14.5559556,-90.7400216,"Antigua Guatemala","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",300000,"Y","Y","N","N","N","N","N","Y","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"50","VIDA","http://vidaguatemala.org/",2012,NA,"P","Y","Y","4ta. Avenida 1-81 zona 4 San Miguel DueÃ±as.",14.524018,-90.79854,"San Miguel DueÃ±as","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nano",40000,"Y","N","Y","N","N","N","N","Y","N","N","Secular","N","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"51","Vivamos Mejor","https://www.vivamosmejor.org.gt/sitio/",1989,NA,"P","Y","Y","Calle Los Salpores 0-83 zona 3, Barrio JucanyÃ¡, Panajachel 07010",14.738941,-91.1521,"Panajachel","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Large",1300000,"N","N","Y","N","N","Y","N","N","N","N","Secular","N","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"52","Women's Justice Initiative","http://womens-justice.org/",2011,NA,"P","Y","Y","3ra. Avenida 1-46, Zona 1, PatzÃºn, Guatemala",14.681182,-91.01204,"PatzÃºn","Chimaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",275000,"N","Y","N","N","Y","N","N","Y","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"53","Wuqu' Kawoq' Maya Health Alliance","http://www.wuqukawoq.org/",2007,NA,"P","Y","Y","Santiago SacatepÃ©quez",14.63725,-90.67894,"Santiago SacatepÃ©quez","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Large",1100000,"Y","N","N","N","N","N","N","Y","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"54","Xela Collective","http://xelacollective.com/",2015,NA,"P","Y","Y","17-31 7a Calle zona 1 Quetzaltenango",14.865674,-91.56735,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nano",20000,"N","Y","N","Y","N","N","N","N","N","N","Secular","Y","N",NA,NA,NA,NA,NA,NA,NA,NA
"55","XelaAid","https://xelaaid.org/",1992,NA,"P","Y","Y","San MartÃ­n Chiquito",14.81567,-91.65614,"San MartÃ­n SacatepÃ©quez","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",500000,"Y","Y","Y","N","N","N","N","N","N","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
"56","NiÃ±os con BendiciÃ³n","http://www.ninosconbendicion.com/",2006,NA,"E","Y","Y","3ra Avenida 2-07 Zona 2, San Antonio Aguas Calientes",14.547552,-90.78286,"San Antonio Aguas Calientes","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","Y","N","N","N","N","N","Y","Evangelical","N","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"57","Worthy Village","http://www.worthyvillage.org",2014,NA,"DP","Y","Y","Panajachel",14.741654,-91.15295,"Panajachel","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small",147000,"N","Y","Y","N","Y","N","N","N","N","N","Secular","501(c)3","NGO",NA,NA,NA,NA,NA,NA,NA,NA
"58","Adelante Shoe Co.","https://adelanteshoes.com/",2016,NA,"DP","Y","Y",NA,14.6004318,-90.7667041,"Pastores","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","N","N","N","N","N","N","Secular","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"59","Antigua Street Dogs","https://www.antiguastreetdogs.org/",2015,NA,"DP","Y","Y",NA,14.5559556,-90.7400216,"Antigua Guatemala","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","N","N","N","Y","N","Secular","501(c)3","Asso",NA,NA,NA,NA,NA,NA,NA,NA
