"","npo","website","year_founded","partner_status","address","latitude","longitude","municipality","department","address2","latitude2","longitude2","municipality2","department2","address3","latitude3","longitude3","municipality3","department3","address4","latitude4","longitude4","municipality4","department4","address5","latitude5","longitude5","municipality5","department5","size","budget","health","edu","comm_dev","youth_child","women_girls","enviro_cons","crime","human_rights","animal_welfare","us_tax_status","guate_reg","faith_based","religious_aff","seal_excellence","total_eval_score","efficiency","transparency","relevance","impact","sustainability"
"494","Pop No'j","https://www.asociacionpopnoj.org/
https://www.facebook.com/AsociacionPopNoj",NA,NA,"3A Avenida 0-80",14.6502634,-90.5242895,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","N","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"495","Casa Colibri","www.CasaColibri.org",2008,NA,NA,15.8093386,-91.3285518,"Barillas","Huehuetenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","N","N","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"496","Casa de Esperanza","http://ochochhikeek.org/es/",2005,NA,"5a calle Barrio Santa Maria",16.3279389,-89.4243854,"PoptÃºn","PetÃ©n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","N","N","N","N","N","N",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA
"497","Casa Segura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","CEDEPEM","http://www.cedepem.org/",1982,NA,"CantÃ³n Xecaracoj sector 5",14.8075896,-91.5557,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"499","Centro Maya Servicio Integral","https://www.centromayasi.org",2004,NA,"Calle Xakal",14.6919103,-91.2904108,"San Juan la Laguna","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","N","N","N","N","N","Y","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"500","CIIDH Guatemala","http://ciidhguatemala.org",1993,NA,"5ta Calle 1-49 Zona 1",14.6441335,-90.5206491,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","N","N","Y","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"501","Clubs de NiÃ±os y NiÃ±as de Centro AmÃ©rica","https://cnnca.org/",NA,NA,"Diagonal 20 9-25",14.6071955,-90.552245,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","Y","N","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"502","Coincidir","https://coincidir.org.gt/",NA,NA,"Km. 15.5 Carrt. A El Salvador Lote 8 Valle del EnsueÃ±o",14.5540394,-90.4592971,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","Y","N","N","N","Y","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"503","Colectivo Vida Digna","https://www.vidadignaguatemala.org/",NA,NA,NA,14.8517589,-91.5326375,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","Y","Y","N","N","N","N",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA
"504","CREAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505","Diversidad Escuintla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","Fotokids","https://fotokidsoriginal.org/",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","Y","N","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"507","Libertad y Desarrollo","https://www.fundacionlibertad.com/node",NA,NA,NA,14.641,-90.513,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","N","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"508","Oxlajuj NÃ³j","https://www.facebook.com/FundacionOxlajujnoj/",2008,NA,NA,14.641,-90.513,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","N","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"509","Sobrevivientes","http://sobrevivientes.org/",2003,NA,"12 Calle 11-63",14.6364112,-90.5101667,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","Y","N","Y","Y","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"510","WAYBI","https://fundacionwaybi.org/",NA,NA,NA,14.7390012,-91.001353,"Tecpan","Chimaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","N","Y","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"511","Fundaeco","https://fundaeco.org.gt/fundaeco.org.gt/index.html",1995,NA,"2-39, 25 Calle",14.6253492,-90.522241,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","Y","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"512","Fundit","http://www.funditguatemala.org",1989,NA,"6a calle 5-02 zona 1, Colonia La Castellana",14.6491129,-90.7935091,"El Tejar","Chimaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","Y","Y","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"513","GOJoven Guatemala","https://gojoven.org.gt/",NA,NA,"Residencial AndalucÃ­a, Km 32.5, Lote 20, Aldea La Libertad, Santa LucÃ­a Milpas Altas, San Lucas SacatepÃ©quez",14.5897166,-90.6647446,"San Lucas SacatepÃ©quez","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","N","Y","N","N","N","Y","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"514","Guatemalan Project","http://guatemalanproject.org/",2000,NA,"El Triunfo",15.1092134,-89.3393826,"Gualan","Zacapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","N","N","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"515","Highland Support Project","https://highlandsupportproject.org",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","N","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"516","Jovenes por el Cambio","https://www.facebook.com/Jovenes-Por-El-Cambio-1631514786869333/",NA,NA,NA,NA,NA,NA,"San Marcos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","Y","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"517","La Choza Chula","https://lachozachula.org/about/",2012,NA,"2 Avenida, El ParedÃ³n Buena Vista, Sipacate",13.9180809,-91.0779055,"Sipacate","Escuintla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"518","Proyecto Corazon de los Ninos","http://www.corazondelosninos.org/",1991,NA,"Calle principal No. 13 San Pedro las Huertas",14.53198,-90.7400925,"San Pedro las Huertas","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","N","Y","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"519","Los Patojos","https://elpatojismo.edu.gt/",NA,NA,"CallejÃ³n Los Patojos, Col. El nance #28",14.5712188,-90.7425076,"Jocotenango","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","Y","N","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"520","MAR Fund","https://marfund.org/en/",2004,NA,"0 Calle, Zona 15",14.5945422,-90.500389,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","Y","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"521","MENAMIG","http://www.menamig.org/",1999,NA,"Edificio Isabel La CatÃ³lica, 9A Avenida 0-19",14.641217,-90.5281701,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","N","N","Y","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"522","NicolÃ¡s Fund for Education","https://nicolasfund.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","N","N","N","N","N","N","501(c)3",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA
"523","Nuestros Ahijados / The God's Child Project","https://godschild.org/services/guatemala/",1991,NA,"Calle a San Felipe",14.5680752,-90.7382646,"Antigua","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","N","Y","N","N","N","N","N","501(c)3",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA
"524","Open Windows","https://www.openwinfound.org/",2001,NA,"Calle Real 3-43, Zona 1",14.5246229,-90.8006495,"San Miguel DueÃ±as","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","Y","N","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"525","Sololateca por los Derechos de las Mujeres Jovenes Indigenas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526","Otrans","www.reinasdelanoche.org.gt",2009,NA,"3A Av 10",14.6478329,-90.5183824,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","N","N","Y","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"527","Paula Weiskopf Foundation","http://paulaweiskopf.org/",1998,NA,"Finca San Isidro",14.5776857,-90.7478428,"Jocotenango","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","Y","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"528","Pintando Santa Catarina","https://pintandoelcambio.com/es/",2016,NA,"Santa Catarina PalopÃ³",14.7236016,-91.1375534,"Santa Catarina PalopÃ³","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"529","Plantemos","https://plantemos.org/",2012,NA,NA,14.626587,-90.5665258,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","Y","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"530","Proyecto Accion Transformadora","https://www.irex.org/project/proyecto-accion-transformadora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","N","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"531","Pueblo a Pueblo","http://www.puebloapueblo.org/",2001,NA,"CantÃ³n TzanjuyÃº",14.6398241,-91.2324448,"Santiago AtitlÃ¡n","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","N","N","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"532","Reciclemos","https://www.reciclemos.org/",NA,NA,"15 Calle 1-11",14.5972896,-90.5178555,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","Y","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"533","ROMP","http://www.rompglobal.org/romp-guatemala/",NA,NA,"AtrÃ¡s del Centro de Salud, Hospital Regional de Zacapa, Barrio Cementerio Nuevo Zacapa",14.9678524,-89.5275655,"Zacapa","Zacapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","N","N","N","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"534","Soluciones Comunitarias","https://www.solucionescomunitarias.com/guatemala",2004,NA,NA,15.4050651,-91.1470246,"Nebaj","QuichÃ©",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","N","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"535","Street Kids Direct","https://streetkidsdirect.org.uk",2001,NA,NA,14.641,-90.513,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","Y","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"536","Tan Ux'il","http://tanuxil.org.gt/",NA,NA,"Avenida Barrios, Isla de Flores",16.9296411,-89.8939537,"Flores","PetÃ©n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","N","N","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"537","Tejiendo Futuros","https://tejiendofuturos.wordpress.com/",2017,NA,"Calle El Amante, a la par de Hotel Miralrio",14.741679,-91.1540677,"Panajachel","SololÃ¡",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","Y","N","N","Y","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"538","Together We Can Guatemala","https://www.togetherwecanguatemala.org/",2018,NA,"El Hato, Antigua",14.582333,-90.71261,"Antigua","SacatepÃ©quez",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","Y","N","Y","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"539","Trama Textiles","http://tramatextiles.org",1988,NA,"3a Calle 10-56",14.8362501,-91.5197606,"Quezaltenango","Quezaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","Y","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"540","UPAVIM / UPAVIM Community Development Foundation","http://upavim.org/",1989,NA,"Villa Nueva",14.542326,-90.5664999,"Guatemala City","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","N","Y","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"541","El Centro Explorativo","https://www.centroexplorativo.org/",2002,NA,"La Pista",15.4067264,-91.1573269,"Nebaj","QuichÃ©",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","Y","N","N","N","N","N","501(c)3",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"542","Fomento para el Desarrollo Integral","https://fdiguate.wixsite.com/fdiguatemala/copy-of-inicio",NA,NA,"6ta Calle 13-51 Zona 1",14.8342816,-91.5218854,"Quezaltenango","Quezaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","Y","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"543","Fatima","https://www.facebook.com/3064fatima/",NA,NA,"5ta. Calle 3-26 Zona 2",14.8692246,-91.6253864,"San Juan Ostuncalco","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","Y","N","N","N","Y","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"544","TopAntigua","www.topantigua.org",2018,NA,"Eco Farms GT, San Felipe",14.5738643,-90.735577,"Antigua","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y","N","Y","N","N","N","N","N","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"546","Para el Bienestar Integral de Guatemala (ABIEN)",NA,2009,NA,NA,14.641,-90.513,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","Para el Desarrollo Sostenible de Guatemala (ADESG)",NA,2010,NA,NA,14.641,-90.513,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"548","Caminando Hacia Adelante",NA,2011,NA,NA,14.641,-90.513,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","Iniciativa Joven Guatemala","https://www.facebook.com/iniciativajovenguate",2010,NA,NA,14.641,-90.513,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","Y","N","N","N","N","N",NA,"NGO","N",NA,NA,NA,NA,NA,NA,NA,NA
"550","Justicia y Desarrollo para Guatemala (JUDEGUA)",NA,2009,NA,NA,14.835,-91.518,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","Nahual J'A",NA,2010,NA,NA,14.835,-91.518,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","Para el Desarrollo Social de San Juan Tecuaco (ODESTEC)",NA,2009,NA,NA,14.0847454,-90.271296,"San Juan Tecuaco","Santa Rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","Ayuda Humanitaria (ASOAYUH)",NA,2009,NA,NA,14.61,-90.657,"San Lucas SacatepÃ©quez","SacatepÃ©quez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","Unidos por Guatemala (AUGONG)","https://es-la.facebook.com/pg/unidosporguatemala",2010,NA,NA,14.641,-90.513,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","N","Y","N","N",NA,"NGO","N",NA,NA,NA,NA,NA,NA,NA,NA
"555","InvestigaciÃ³n, Desarrollo y EducaciÃ³n Integral (I.D.E.I.)","https://www.asociacionidei.org/",2002,NA,"15 Avenida ""A"" 3-33 Zona 01",14.8360966,-91.520952,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","N","N","N","N","N","N",NA,"NGO","N",NA,NA,NA,NA,NA,NA,NA,NA
"556","ActionAid Guatemala","https://guatemala.actionaid.org/en",2007,NA,NA,14.641,-90.513,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","Y","N","N","Y","N",NA,"NGO","N",NA,NA,NA,NA,NA,NA,NA,NA
"557","Comunidad Agraria Las Tres MarÃ­as Santa BÃ¡rbara (ACAM)",NA,2002,NA,NA,14.4331423,-91.232915,"Santa BÃ¡rbara","Suchitepequez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"558","Desarollo Integral Gema",NA,2006,NA,NA,14.641,-90.513,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"559","Ciencia, Cultura y Desarrollo para Todos (CCDALL)",NA,2010,NA,NA,14.6424017,-90.6495799,"Mixco","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"560","Caserio el Eden, del Municipio Sayaxche del Departmento de Peten (Chichen Itza)",NA,2009,NA,NA,16.5262079,-90.1975823,"SayaxchÃ©","PetÃ©n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","Cambio Interno de Guatemala",NA,2007,NA,NA,14.835,-91.518,"Quetzaltenango","Quetzaltenango",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"562","Educativa, Cultural y Desarrollo Comunitaria Maria Panabaj","https://www.facebook.com/pg/mariapanab",2019,NA,NA,14.6423751,-91.2377643,"Santiago AtitlÃ¡n","SololÃ¡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","Y","N","N","N","N","N","N",NA,"NGO","N",NA,NA,NA,NA,NA,NA,NA,NA
"563","Equilibrio de Desarrollo ante de la Adversidad (EQUIDAD)",NA,2009,NA,NA,14.641,-90.513,"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
